=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
039200,오스코텍,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,5062376490,-28638371210,-24429544990,23342823650,461.1,18371455500,122508361950,143735698270,21914692250,-5.6684,17.89,117355086840,0.0,거래 정상
2023-12-31,4950929990,-32655289470,-24279525960,24907287390,503.08,18991978500,98918425620,132578400080,37860914020,-4.2084,38.27,14004434560,-2.2,거래 정상
2024-12-31,34007602680,-2733857770,876526890,21429086050,63.01,19123838000,127755760640,170778209860,38418568370,-5.6804,30.07,52831300,586.89,거래 정상
2025-12-31,99838669220,52081332830,52343085510,27637029370,27.68,19129088000,181307409040,229853200870,43005621430,-8.4781,23.72,158476300,193.58,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"14,215,742,160 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (진행성 고형암 치료 후보물질 OCT598 임상1상 한국 식품의약품안전처 임상시험계획(IND) 제출),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (진행성 고형암 치료 후보물질 OCT-598 임상1상 임상시험계획(IND) 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항              (유한양행의 얀센바이오테크 기술이전 마일스톤 분배),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (진행성 고형암 치료 후보물질 OCT-598 임상1상 임상시험계획(IND) 제출),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항(임상시험결과)              (AXL 저해제 SKI-G-801 임상 1상 임상시험결과보고서(CSR) 수령),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (면역성 혈소판감소증(ITP)의 1차 치료법 가능성에 대한 탐색적 2상 연구자 주도 임상시험 IND 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,대표이사변경              ,N/A,모니터링 필요
2025,대표이사변경              ,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,소송등의판결ㆍ결정              (검사인 선임),N/A,모니터링 필요
2025,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[첨부정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,소송등의제기ㆍ신청(경영권분쟁소송)              (주주총회결의무효확인소송),N/A,모니터링 필요
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,소송등의판결ㆍ결정              (장부등 열람허용 가처분 신청),N/A,모니터링 필요
2025,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,소송등의제기ㆍ신청(경영권분쟁소송)              (장부등열람허용가처분),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항              (유한양행의 얀센바이오테크 기술이전 마일스톤 분배),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
