=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
950130,엑세스바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,15011000,0.0,거래 정상
2022-12-31,1033863094000,469603671000,346670216000,7315556000,0.71,2317865000,618111837000,885479769000,259382030000,-265.6729,41.96,9310000,0.0,거래 정상
2023-12-31,348643147000,21921671000,-3172838000,16080517000,4.61,2361531000,584155184000,691136495000,103995313000,-246.3629,17.8,406527000,-66.28,거래 정상
2024-12-31,112462797000,-4182835000,-347576000,10837431000,9.64,2792405000,650152115000,740851182000,88445927000,-231.8287,13.6,0,-67.74,거래 정상
2025-12-31,31255112000,-63286212000,-82118303000,8483535000,27.14,2725729000,557190461000,607940018000,49450676000,-203.4189,8.88,0,-72.21,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"406,527,000 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,전환가액의조정              (제5회차),N/A,모니터링 필요
2024,전환가액의조정              (제5회차),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,[기재정정]사업보고서 (2023.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,전환가액의조정              (제5회차),N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2023,기타경영사항(자율공시)(제22기 정기주주총회 권리주주 확정을 위한 증권예탁증권 기준일 설정 공고),N/A,모니터링 필요
2023,소송등의제기ㆍ신청(일정금액이상의청구)(손해배상 청구),N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,소송등의제기ㆍ신청(일정금액이상의청구),N/A,모니터링 필요
2023,[기재정정]단일판매ㆍ공급계약체결,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,단일판매ㆍ공급계약체결,N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,소송등의판결ㆍ결정(주주총회소집허가),N/A,모니터링 필요
2023,소송등의판결ㆍ결정(주주명부열람 및 등사),N/A,모니터링 필요
2023,전환가액의조정(제5회차),N/A,모니터링 필요
2023,소송등의판결ㆍ결정(일정금액이상의청구),N/A,모니터링 필요
2023,[기재정정]소송등의제기ㆍ신청(경영권분쟁소송),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,전환가액의조정(제5회차),N/A,모니터링 필요
2023,소송등의제기ㆍ신청(경영권분쟁소송)(주주총회소집허가),N/A,모니터링 필요
