=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
176750,듀켐바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,171668000,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,32422307380,1555010450,-2601284870,17525000,0.05,13512610000,17593916000,51351398580,33757482890,-0.302,191.87,0,0.0,거래 정상
2023-12-31,34695489500,5256032670,4000506700,205309000,0.59,13512610000,21794391070,49276826690,27482435610,-0.6129,126.1,0,7.01,거래 정상
2024-12-31,35600990960,5075928610,7993746570,0,0.0,14602610000,43009559880,65168342510,22158782630,-1.9453,51.52,11440000000,2.61,거래 정상
2025-12-31,38572364090,7443288090,6479757900,22568000,0.06,14602610000,49239976450,77676184450,28436208000,-2.372,57.75,0,8.35,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"11,440,000,000 원"
최대주주 및 특수관계인 지분율,60.86% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주요사항보고서(유상증자결정),"11,440,000,000",지분 희석 및 자금 사정 악화 반증 우려
2024,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,증권신고서(지분증권),N/A,모니터링 필요
2024,주요사항보고서(유상증자결정),"11,440,000,000",지분 희석 및 자금 사정 악화 반증 우려
2024,기타주요경영사항(자율공시)              (코스닥시장 상장예비심사 승인),N/A,모니터링 필요
2024,기업설명회(IR)개최결과              ,N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,기타주요경영사항(자율공시)              (코스닥 시장 상장을 위한 상장예비심사 신청 ),N/A,모니터링 필요
2024,이전상장결정              ,N/A,모니터링 필요
2024,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]타법인주식및출자증권취득결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주요사항보고서(자기주식처분결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,임시주주총회결과              ,N/A,모니터링 필요
2024,기업설명회(IR)개최결과              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,임시주주총회결과              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]사업보고서 (2023.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]사업보고서 (2023.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,사업보고서 (2023.12),N/A,모니터링 필요
