=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
388870,파로스아이바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,57000000,0,0,0,0.0,0,0,0,0,0.0,0.0,18020603880,0.0,거래 정상
2022-12-31,300000000,-10619484000,-17061695000,7085063000,2361.69,5738481000,17665265100,18721329270,1056064160,-2.0784,5.98,0,426.32,거래 정상
2023-12-31,0,-10116681000,-8858361000,6138191000,0.0,6459481000,28349203030,29690249510,1341046480,-3.3888,4.73,19072699200,-100.0,투자 위험
2024-12-31,0,-12601090000,-10560177000,8457950000,0.0,6472966000,18613510100,19628332280,1014822170,-1.8756,5.45,132121510,0.0,투자 위험
2025-12-31,0,-11507093000,-10756654000,7677266000,0.0,6472966000,13925701440,29868258300,15942556860,-1.1514,114.48,0,0.0,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,5년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"19,204,820,710 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2023,[기재정정]증권발행실적보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,증권발행실적보고서,N/A,모니터링 필요
2023,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2023,투자설명서,N/A,모니터링 필요
2023,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
