=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
000250,삼천당제약,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,177335410010,12224651960,5837527760,5470977000,3.09,11384020500,173740958930,372793050150,127151386510,-14.2618,73.18,0,0.0,거래 정상
2023-12-31,192668515620,9559814430,-10382721090,5041507000,2.62,11728736000,220498640040,408021822010,109561750070,-17.7999,49.69,0,8.65,거래 정상
2024-12-31,210923804520,2641971670,-10916104960,7836687000,3.72,11728736000,266105335240,519772210830,170368051940,-21.6883,64.02,71215115450,9.47,거래 정상
2025-12-31,231805277730,8466513410,5261822740,8528674000,3.68,11728736000,276019546060,561231384430,197638158780,-22.5336,71.6,90281150,9.9,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"71,305,396,600 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,[기재정정]주요사항보고서(자기주식처분결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주요사항보고서(교환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,주요사항보고서(교환사채권발행결정),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,임시주주총회결과              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,[기재정정]단일판매ㆍ공급계약체결(자율공시)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,[기재정정]사업보고서 (2024.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,불성실공시법인미지정              (지정유예),N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,불성실공시법인지정예고              (공시불이행),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항              (황반변성치료제(아일리아/주성분 : Aflibercept) 바이오시밀러 SCD411 2mg 저용량(Vial&PFS) 및 8mg 고용량(Vial&PFS)의 미국 및 라틴아메리카 6개국 독점 공급 및 판매계약 체결),N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,풍문또는보도에대한해명              (최종답변),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,풍문또는보도에대한해명(미확정)              ,N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동,N/A,모니터링 필요
2024,풍문또는보도에대한해명(미확정),N/A,모니터링 필요
2023,[기재정정]단일판매ㆍ공급계약체결(자율공시),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,N/A,모니터링 필요
2023,투자판단관련주요경영사항(SCD411(아일리아 바이오시밀러) VIAL 및 PFS(Pre-filled Syringe) 한국 품목허가 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,[기재정정]단일판매ㆍ공급계약체결(자율공시),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,"투자판단관련주요경영사항(황반변성치료제(아일리아/주성분 : Aflibercept) 바이오시밀러 SCD411(Vial&PFS)의 유럽 5개국(독일, 스페인, 이태리, 스위스, 오스트리아) 독점판매권 및 공급계약 체결)",N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,풍문또는보도에대한해명(미확정),N/A,모니터링 필요
2023,[기재정정]수시공시의무관련사항(공정공시)(아일리아 바이오시밀러(SCD411) Binding Term Sheet 체결),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,전환청구권행사,N/A,모니터링 필요
2023,투자판단관련주요경영사항(황반변성치료제(아일리아/주성분 : Aflibercept) 바이오시밀러 SCD411(Vial&PFS)의 캐나다 독점판매권 및 공급계약 체결),N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,풍문또는보도에대한해명(미확정),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
