=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
235980,메드팩토,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,31974391400,0.0,거래 정상
2022-12-31,0,-37193012180,-35753227220,31919204330,0.0,10540347500,32322597620,107687183350,75364585730,-2.0666,233.16,3401301410,0.0,거래 정상
2023-12-31,0,-28752088540,-35324785770,24163684710,0.0,16790347500,70908663430,80474385510,9565722070,-3.2232,13.49,72844365330,0.0,투자 위험
2024-12-31,0,-21806861790,-20140350640,18017578630,0.0,17137560500,57743233560,60785298590,3042065020,-2.3694,5.27,0,0.0,투자 위험
2025-12-31,3898477860,-14018507740,-12810783520,10137722400,260.04,17137560500,45981935070,48663157620,2681222550,-1.6831,5.83,0,0.0,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"72,844,365,330 원"
최대주주 및 특수관계인 지분율,26.0% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2023,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,투자판단관련주요경영사항(임상시험계획승인신청)(전이성 결장직장암 환자 대상 백토서팁 키트루다 병용 요법 제2b/3상 미국 FDA 임상 시험 계획 승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,기업설명회(IR)개최,N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
