=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
220100,퓨쳐켐,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,12573624100,-12931575270,-13959367560,7644722000,60.8,11051077500,70135366190,88716258580,18433015770,-5.3465,26.28,31088830410,0.0,거래 정상
2023-12-31,13968016470,-8407901330,-6708943340,2358433000,16.88,11051077500,63769338090,72833181890,8918809760,-4.7704,13.99,0,11.09,거래 정상
2024-12-31,17293266220,-9463887320,-9417583140,4177891000,24.16,11051077500,54379648000,74421441480,19904477490,-3.9208,36.6,6499866250,23.81,거래 정상
2025-12-31,18670511670,-7749988310,-11251212300,3583885000,19.2,11213710000,54650415280,74530577450,19699410450,-3.8735,36.05,0,7.96,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"6,499,866,250 원"
최대주주 및 특수관계인 지분율,13.3% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,증권발행결과(자율공시)              ,N/A,모니터링 필요
2024,주요사항보고서(유상증자결정),"6,499,866,250",지분 희석 및 자금 사정 악화 반증 우려
2024,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]감사보고서제출              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,감사보고서제출              ,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동,N/A,모니터링 필요
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,[기재정정]사업보고서 (2022.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,"투자판단관련주요경영사항(임상시험결과)(미국에서 실시된 전이성 거세저항성 전립선암 환자에 대한 [177Lu]루도타다이펩의 용량 설정을 위한 다기관 제 1상 임상시험의 결과 발표의 건 [임상시험결과보고서(Clinical Study Report, CSR) 수령])",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,[기재정정]사업보고서 (2022.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,기타경영사항(자율공시)([국책과제 선정] 전립선암 표적 항암치료 방사성의약품 신약 개발),N/A,모니터링 필요
