=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
003090,대웅,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,298831250,0.0,거래 정상
2022-12-31,1697338482580,207334243580,102565588550,169887139000,10.01,29070990000,828828700580,2158905107250,879409305640,-27.5105,106.1,301831430,0.0,거래 정상
2023-12-31,1813841462120,195606282120,152665121740,176599324000,9.74,29070990000,934796127920,2359277174090,922478396680,-31.1556,98.68,88696160,6.86,거래 정상
2024-12-31,1936916852590,281913080590,57885500080,176049130000,9.09,29070990000,996506946100,2720693911170,1218198152020,-33.2784,122.25,0,6.79,거래 정상
2025-12-31,2068370455240,261793895240,175062902530,186707377000,9.03,29070990000,1176637791550,3232157201630,1464831571440,-39.4746,124.49,216104200,6.79,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"304,800,360 원"
최대주주 및 특수관계인 지분율,38.27% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,[기재정정]최대주주등소유주식변동신고서              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]최대주주등소유주식변동신고서              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,단기차입금증가결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,[기재정정]사업보고서 (2024.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,투자판단관련주요경영사항(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,감사보고서제출(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,감사보고서제출(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,단일판매ㆍ공급계약체결(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2024,단일판매ㆍ공급계약해지(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,유상증자결정(종속회사의주요경영사항)              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2024,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,투자판단관련주요경영사항(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,생산중단(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,타인에대한채무보증결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,[기재정정]단일판매ㆍ공급계약체결(자회사의 주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,투자판단관련주요경영사항(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,기업지배구조보고서공시              ,N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,투자판단관련주요경영사항(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,[기재정정]신규시설투자등(자회사의 주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,[기재정정]단일판매ㆍ공급계약체결(자회사의 주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,감사보고서제출              ,N/A,모니터링 필요
2024,감사보고서제출(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,감사보고서제출(자회사의 주요경영사항)              ,N/A,모니터링 필요
