=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
095700,제넥신,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,13448321280,0.0,거래 정상
2022-12-31,16139032160,-33679063150,-55973927530,26444645000,163.86,12572491000,272640826400,388781107500,111386617270,-20.6855,40.85,1975958060,0.0,거래 정상
2023-12-31,4426626990,-41240885940,-66873517570,26330495000,594.82,20755297000,296621808460,376586599980,79682984290,-13.2914,26.86,85161876360,-72.57,거래 정상
2024-12-31,2932735730,-37203232690,-63705875000,22023717000,750.96,22770247000,261680675000,345041837000,83361162470,-10.4922,31.86,0,-33.75,투자 위험
2025-12-31,4573913200,-36073032040,-27215092600,26616531000,581.92,22770247000,246755395940,371266117720,124510721810,-9.8367,50.46,0,55.96,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"85,161,876,360 원"
최대주주 및 특수관계인 지분율,18.53% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,[기재정정]증권신고서(합병),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]증권신고서(합병),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주요사항보고서(회사합병결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,증권신고서(합병),N/A,모니터링 필요
2024,[기재정정]주요사항보고서(회사합병결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주요사항보고서(회사합병결정),N/A,모니터링 필요
2024,"투자판단관련주요경영사항(임상시험계획승인신청등결정)              (건강한 자원자 코카시안 및 아시아인에서 efepoetin alfa 단회 정맥 투여 후 약동/약력학적 특성, 안전성 및 내약성을 평가하기 위한 GX-E4 1상 임상계획 승인 )",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,"투자판단관련주요경영사항(임상시험계획승인신청)              (건강한 자원자 코카시안 및 아시아인에서 efepoetin alfa 단회 정맥 투여 후 약동/약력학적 특성, 안전성 및 내약성을 평가하기 위한(GX-E4) 1상 임상계획 승인 신청)",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2024,[기재정정]투자판단관련주요경영사항(GX-E4(지속형 빈혈 치료제)기술이전 계약체결),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]투자판단관련주요경영사항(에페사프리필드시린지주(GX-E4) 한국 품목허가 신청),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,투자판단관련주요경영사항(에페사프리필드시린지주(GX-E4) 한국 품목허가 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,[기재정정]사업보고서 (2022.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]사업보고서 (2021.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]감사보고서제출(2022사업연도),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]감사보고서제출(2021사업연도),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,기타시장안내(연구개발 우수기업 매출액 특례적용 관련),N/A,모니터링 필요
2023,[기재정정]투자판단관련주요경영사항(GX-E4(지속형 빈혈 치료제)기술이전 계약체결),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,투자판단관련주요경영사항(임상시험결과)(비투석 신장질환 환자의 GX-E4(빈혈치료제) 제 3상 임상시험 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,투자판단관련주요경영사항(임상시험결과)(불응성 또는 재발성 삼중음성유방암 환자를 대상으로 pembrolizumab과 병용한 GX-I7 제1b/2상 임상시험 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,전환사채(해외전환사채포함)발행후만기전사채취득,N/A,모니터링 필요
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)(GX-E4(빈혈치료제)의 국내 제 3상 임상시험계획(IND) 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,투자판단관련주요경영사항(임상시험계획승인신청등결정)(GX-E4(빈혈치료제)의 국내 제 3상 임상시험계획(IND) 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,[기재정정]분기보고서 (2023.09),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,[기재정정]투자판단관련주요경영사항(GX-170의 국내1상 임상시험계획(IND) 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,주식매수선택권부여에관한신고,N/A,모니터링 필요
2023,대표이사변경,N/A,모니터링 필요
2023,투자판단관련주요경영사항(임상시험계획승인신청)(GX-E4(빈혈치료제)의 국내 제 3상 임상시험계획(IND) 승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,투자판단관련주요경영사항(임상시험계획자진취하등)(GX-E4(빈혈치료제)의 국내 제 3상 임상시험계획(IND)신청 자진취하),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
