=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
302440,SK바이오사이언스,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,456725871190,115013617390,122451949930,57959645000,12.69,38392023000,1741701996060,2141931383550,400229387480,-44.3662,22.98,2617945590,0.0,거래 정상
2023-12-31,369505555850,-11987765100,22317719230,85743416000,23.2,38413875000,1703855316370,1852439180080,148583863700,-43.3552,8.72,397598910,-19.1,거래 정상
2024-12-31,267545049150,-138431298270,-53881198900,71352814000,26.67,39173646500,1802565226090,2843596036890,821143859310,-45.0147,45.55,75680234210,-27.59,거래 정상
2025-12-31,651368342530,-123501682420,-57424481980,69860999000,10.73,39217350500,1788799862230,2955743509060,918289306340,-44.6125,51.34,794700830,143.46,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"76,872,533,950 원"
최대주주 및 특수관계인 지분율,68.89% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,기업지배구조보고서공시              ,N/A,모니터링 필요
2025,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,[기재정정]투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 미국 제3상 임상시험계획 (IND) 신청),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,"[기재정정]투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 유럽 제3상 임상시험계획 (CTA) 승인 (Part I, Part II))",N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,"투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 유럽 제3상 임상시험계획 (CTA) 승인 (Part I, Part II))",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,대규모기업집단현황공시[분기별공시(개별회사용)],N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,[기재정정]투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 미국 제3상 임상시험계획 (IND) 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 미국 제3상 임상시험계획 (IND) 신청),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,결산실적공시예고(안내공시)              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 미국 제3상 임상시험계획 (IND) 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 한국 제3상 임상시험계획 (IND) 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,투자판단관련주요경영사항              (차세대 폐렴구균 백신 공동개발 및 상업화 수정 계약 체결),N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,대규모기업집단현황공시[분기별공시(개별회사용)],N/A,모니터링 필요
2024,"[기재정정]투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 유럽 제3상 임상시험계획 (CTA) 신청 (Part I, Part II))",N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,"투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 유럽 제3상 임상시험계획 (CTA) 신청 (Part I, Part II))",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,투자판단관련주요경영사항              (21가 폐렴구균백신(GBP410)의 한국 제3상 임상시험계획 (IND) 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2024,[기재정정]타인에대한채무보증결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]타인에대한채무보증결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]타법인주식및출자증권취득결정(종속회사의주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
