=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
009420,한올바이오파마,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,408716100,0.0,거래 정상
2022-12-31,109995418980,1505787270,251473640,16498472000,15.0,26120319000,168256460620,213451232690,45194772070,-5.4416,26.86,59862000,0.0,거래 정상
2023-12-31,134909837620,2211360250,3508607550,23944951000,17.75,26120319000,186218369830,239746992700,53528622870,-6.1293,28.75,0,22.65,거래 정상
2024-12-31,138943698750,230474980,-1804843470,19992612000,14.39,26120319000,168351403330,212880605180,44529201850,-5.4452,26.45,1701767770,2.99,거래 정상
2025-12-31,155184524100,-915814930,-5559162630,19314852000,12.45,26120319000,161681400830,225224012030,63542611190,-5.1899,39.3,2886656270,11.69,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"4,588,424,040 원"
최대주주 및 특수관계인 지분율,38.22% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
