=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
128940,한미약품,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,1331546600120,158090311660,82791735410,154316776000,11.59,30794927500,871865585830,1924585730830,915359048750,-27.312,104.99,0,0.0,거래 정상
2023-12-31,1490887463720,224884915220,146231157740,181769141000,12.19,31405395000,955442389530,1898668375960,798457731810,-29.4229,83.57,0,11.97,거래 정상
2024-12-31,1495501575560,216186188040,121315102380,178890955000,11.96,32027477500,1084893341850,2020840493650,780088902010,-32.8738,71.9,0,0.31,거래 정상
2025-12-31,1547531098760,257799091330,169554330030,195834353000,12.65,32027477500,1249756305410,2137597680850,714744458120,-38.0214,57.19,1040,3.48,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"1,040 원"
최대주주 및 특수관계인 지분율,50.09% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,수시공시의무관련사항(공정공시)              ,N/A,모니터링 필요
2025,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2025,연결재무제표기준영업실적등에대한전망(공정공시)              ,N/A,모니터링 필요
2025,영업실적등에대한전망(공정공시)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              ,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,결산실적공시예고(안내공시)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              ,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,[기재정정]투자판단관련주요경영사항              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
