=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
001360,삼성제약,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,51832233850,-13961176640,-25093031440,327020000,0.63,33581039500,102589916530,117914808530,15324892000,-2.055,14.94,0,0.0,거래 정상
2023-12-31,51955037960,-18037069970,-24812021760,2279208000,4.39,33581039500,77584546530,93479032020,15894485480,-1.3104,20.49,0,0.24,거래 정상
2024-12-31,44294231020,-14828940210,-14092018350,1288614000,2.91,47081039500,105855344770,128451959170,22596614410,-1.2484,21.35,39666396100,-14.75,거래 정상
2025-12-31,46074379550,-18068418770,11545101570,1993213000,4.33,47081039500,121044891630,167437187130,46392295490,-1.571,38.33,0,4.02,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"39,666,396,100 원"
최대주주 및 특수관계인 지분율,10.47% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2024,[기재정정]주요사항보고서(유상증자결정),"39,666,396,100",지분 희석 및 자금 사정 악화 반증 우려
2024,유상증자신주발행가액(안내공시)              ,"39,666,396,100",지분 희석 및 자금 사정 악화 반증 우려
2024,투자판단관련주요경영사항,N/A,모니터링 필요
2024,투자설명서,N/A,모니터링 필요
2024,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2024,[기재정정]주요사항보고서(유상증자결정),"39,666,396,100",지분 희석 및 자금 사정 악화 반증 우려
2024,유상증자신주발행가액(안내공시),"39,666,396,100",지분 희석 및 자금 사정 악화 반증 우려
2023,주요사항보고서(중요한자산양수도결정(기타)),N/A,모니터링 필요
2023,[기재정정]투자판단관련주요경영사항(알츠하이머 병 치료제로서 GV1001의 국내 판권 등 라이선스 인 계약),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2023,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,증권신고서(지분증권),N/A,모니터링 필요
2023,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,소송등의제기ㆍ신청(일정금액이상의청구),N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,투자판단관련주요경영사항(알츠하이머병 치료제로서 GV 1001의 국내 제3상 임상시험계획 변경 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,투자판단관련주요경영사항(알츠하이머병 치료제로서 GV 1001의 국내 제3상 임상시험계획 변경 승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
