=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
222110,팬젠,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,10050595710,0.0,거래 정상
2022-12-31,6500657960,-4590629280,-4493832130,3849569000,59.22,5338815000,17219473100,20673675470,3454202500,-2.2253,20.06,33675000,0.0,거래 정상
2023-12-31,7315125370,-4225498010,-4488830770,3332047000,45.55,5338815000,12565977340,20741155630,8175177800,-1.3537,65.06,0,12.53,거래 정상
2024-12-31,14672686810,1020167120,943686860,2011947000,13.71,6449098500,24908713600,30544682360,5635969020,-2.8624,22.63,9261028650,100.58,거래 정상
2025-12-31,13416632780,1506235420,2050626610,1382110000,10.3,6747098500,29924129200,32700285210,2776156150,-3.4351,9.28,2967484000,-8.56,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"12,228,512,650 원"
최대주주 및 특수관계인 지분율,52.67% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,전환청구권행사              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2024,주요사항보고서(유상증자결정),"9,261,028,650",지분 희석 및 자금 사정 악화 반증 우려
2024,최대주주변경을수반하는주식양수도계약체결              ,N/A,모니터링 필요
2024,전환사채(해외전환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
2024,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,투자판단관련주요경영사항              (빈혈치료제인 팬포틴(Panpotin) 태국 품목허가 획득),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,기타경영사항(자율공시)              ,N/A,모니터링 필요
2024,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,대표이사변경              ,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,증권발행결과(자율공시)              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,주요사항보고서(유상증자결정),"9,261,028,650",지분 희석 및 자금 사정 악화 반증 우려
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]단일판매ㆍ공급계약체결,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]단일판매ㆍ공급계약체결,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
