=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
196300,HLB펩,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,216296520,0.0,거래 정상
2022-12-31,8662260140,-4324861270,-6204751890,2099272000,24.23,2801278000,13396063000,25887697920,12491634080,-3.7821,93.25,0,0.0,거래 정상
2023-12-31,5610913000,-6716760800,-9079389190,1493802000,26.62,2968647000,10519978080,20995004000,10475025920,-2.5437,99.57,148260000,-35.23,거래 정상
2024-12-31,6229007020,-5439522610,-6793360300,1279863000,20.55,3001693500,5381363920,16518196870,11136832950,-0.7928,206.95,999987090,11.02,거래 정상
2025-12-31,4961730620,-7320194500,-642465590,3481065000,70.16,4646699000,25734059310,53807855710,28073796410,-4.5381,109.09,19999976860,-20.34,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"21,148,223,950 원"
최대주주 및 특수관계인 지분율,47.51% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"19,999,976,860",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"19,999,976,860",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"19,999,976,860",지분 희석 및 자금 사정 악화 반증 우려
2025,내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생              ,N/A,모니터링 필요
2025,주권매매거래정지              (관리종목지정우려),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"19,999,976,860",지분 희석 및 자금 사정 악화 반증 우려
2024,[기재정정]주요사항보고서(유상증자결정),"999,987,090",지분 희석 및 자금 사정 악화 반증 우려
2024,[기재정정]주요사항보고서(유상증자결정),"999,987,090",지분 희석 및 자금 사정 악화 반증 우려
2024,주요사항보고서(유상증자결정),"999,987,090",지분 희석 및 자금 사정 악화 반증 우려
2024,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,투자판단관련주요경영사항              (가니렐릭스 원료의약품 미국식품의약국(FDA) 품목허가 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2024,소송등의제기ㆍ신청(경영권분쟁소송)              (주주총회소집허가),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
2024,임시주주총회결과              ,N/A,모니터링 필요
2024,기타시장안내              (업종변경 안내),N/A,모니터링 필요
2024,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
