=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
084110,휴온스글로벌,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,664364718200,86734606200,-60254134700,52544700000,7.91,6310746000,464316408330,1243109219800,457233625950,-72.5755,98.47,7006860000,0.0,거래 정상
2023-12-31,758379660580,115950061580,38383627220,59587626000,7.86,6310746000,501825381410,1317964399910,407287216710,-78.5192,81.16,531978450,14.15,거래 정상
2024-12-31,813460515140,97406299140,25791032200,65758297000,8.08,6318410000,520108833800,1405949040240,441783898790,-81.3164,84.94,0,7.26,거래 정상
2025-12-31,847453173650,90746132650,28838245240,66879982000,7.89,6329906000,546713333400,1559916952710,468692379740,-85.3699,85.73,9190015080,4.18,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"9,721,993,530 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,현금ㆍ현물배당결정(자회사의 주요경영사항)              (분기배당),N/A,모니터링 필요
2025,중간(분기)배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정)(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,주요사항보고서(교환사채권발행결정)(자회사의 주요경영사항)              (제2회차),N/A,모니터링 필요
2025,현금ㆍ현물배당결정              (분기배당),N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,주요사항보고서(교환사채권발행결정),N/A,모니터링 필요
2025,중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,현금ㆍ현물배당결정              (중간배당),N/A,모니터링 필요
2025,중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정(자회사의 주요경영사항)              (중간배당),N/A,모니터링 필요
2025,중간(분기)배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,[기재정정]현금ㆍ현물배당결정(자회사의 주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,대표이사변경              ,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,감사보고서제출(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,타인에대한채무보증결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)미만변동(자율공시)              ,N/A,모니터링 필요
2025,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,공정거래자율준수프로그램운영현황              ,N/A,모니터링 필요
2025,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항)              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,대표이사변경(자회사의 주요경영사항)              ,N/A,모니터링 필요
2024,[기재정정]주요사항보고서(회사분할합병결정)(자회사의 주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주요사항보고서(회사분할합병결정)(자회사의 주요경영사항)              ,N/A,모니터링 필요
