=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
060590,씨티씨바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,9920037930,0.0,거래 정상
2022-12-31,165205513710,11229682610,4703798900,2413515000,1.46,12090510000,93902956340,186326396890,92423440550,-6.7667,98.42,0,0.0,거래 정상
2023-12-31,137878037210,-4578130580,-15587896680,2638735000,1.91,12090510000,75444321160,165861818610,90417497450,-5.24,119.85,0,-16.54,거래 정상
2024-12-31,119876739030,-5398751000,-5220439230,3558193000,2.97,12090510000,69620419950,153688456820,84068036860,-4.7583,120.75,0,-13.06,거래 정상
2025-12-31,123769377290,6249530940,3240507170,1784829000,1.44,12090510000,72723708110,143235365400,70511657290,-5.0149,96.96,0,3.25,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,49.82% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,소송등의제기ㆍ신청(경영권분쟁소송)              (주주총회 결의 부존재 확인 등),N/A,모니터링 필요
2024,소송등의제기ㆍ신청(경영권분쟁소송)              (직무집행정지가처분),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,투자판단관련주요경영사항              (조루증 치료 복합제 CDFR0812-15/50mg의 식품의약품안전처 국내 품목 허가 승인),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,대표이사변경              ,N/A,모니터링 필요
2024,[기재정정]사업보고서 (2023.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2024,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2024,소송등의제기ㆍ신청(경영권분쟁소송)              (검사인 선임),N/A,모니터링 필요
2024,소송등의제기ㆍ신청(경영권분쟁소송)              (간접강제),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2024,소송등의제기ㆍ신청(경영권분쟁소송)              (주주명부열람등사가처분),N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
