=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
293780,압타바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,18990000,0.0,거래 정상
2022-12-31,48352850,-9506766150,-10564737000,6197121000,12816.45,11149433000,52369500950,56113732210,3744231250,-3.6971,7.15,589200000,0.0,거래 정상
2023-12-31,323868810,-16373534110,-12061643740,12380460000,3822.68,11149433000,61363391270,92519116330,31155725060,-4.5037,50.77,11101507130,569.8,투자 위험
2024-12-31,3360980190,-18854397750,-29377949530,14590544000,434.12,13440680000,54197060000,77433613580,23236553000,-3.0323,42.87,0,937.76,거래 정상
2025-12-31,3697914750,-15536336280,-16346165950,10500511000,283.96,14046702500,47184637000,60026991310,12842354690,-2.3591,27.22,0,10.02,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"11,101,507,130 원"
최대주주 및 특수관계인 지분율,31.75% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,투자판단관련주요경영사항(임상시험계획승인신청)              (APX-343A의 제1상 임상시험계획 승인신청(IND)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,투자판단관련주요경영사항(임상시험계획승인신청등결정)              ((APX115(Isuzinaxib)의 제 2b상 임상시험계획(IND) 승인)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,전환청구권행사              ,N/A,모니터링 필요
2024,전환청구권행사              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획승인신청)              (APX115(Isuzinaxib)의 제 2b상 임상시험계획 승인신청(IND)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,전환청구권행사              ,N/A,모니터링 필요
2024,전환청구권행사              ,N/A,모니터링 필요
2024,기타경영사항(자율공시)              (전환우선주의 보통주 전환청구),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,[기재정정]사업보고서 (2023.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]감사보고서제출              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,기타경영사항(자율공시)              (전환우선주의 전환가액 조정),N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,투자판단관련주요경영사항(임상시험계획자진취하등)(COVID-19 치료제 APX-115의 US FDA 2상 임상시험 자진 중단),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,주식매수선택권부여에관한신고,N/A,모니터링 필요
2023,증권발행결과(자율공시),N/A,모니터링 필요
2023,증권발행결과(자율공시),N/A,모니터링 필요
2023,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2023,주요사항보고서(유상증자결정),"11,101,507,130",지분 희석 및 자금 사정 악화 반증 우려
2023,반기보고서 (2023.06),N/A,모니터링 필요
