=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
179530,애드바이오텍,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,198500000,0.0,거래 정상
2022-12-31,10631575430,-4938352160,2696279850,1110588000,10.45,4570222000,16185278710,31018133560,14832854850,-2.5415,91.64,9927614300,0.0,거래 정상
2023-12-31,10471949610,-4762402060,-2863452820,1486413000,14.19,4570222000,13392538850,28093228260,17246118010,-1.9304,128.77,0,-1.5,거래 정상
2024-12-31,11136245190,-4117317200,-7952048110,1632364000,14.66,4570222000,4836799170,23074331950,20099314040,-0.0583,415.55,0,6.34,거래 정상
2025-12-31,12897074440,-3500860150,-3304018000,1802316000,13.97,8180189500,15323068810,48407432100,34867636150,-0.8732,227.55,9812254390,15.81,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"9,812,254,390 원"
최대주주 및 특수관계인 지분율,26.79% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,기타시장안내(최대주주의의무보유관련)              (최대주주의 의무보유 이행 관련),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주요사항보고서(유형자산양수결정),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"9,812,254,390",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,기타시장안내(최대주주의의무보유관련)              ,N/A,모니터링 필요
2025,최대주주변경              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,파생상품거래손실발생              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,소액공모실적보고서,N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,유상증자최종발행가액확정              ,"9,812,254,390",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]소액공모공시서류(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주요사항보고서(유상증자결정),"9,812,254,390",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]경영권변경등에관한계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,소액공모공시서류(지분증권),N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2025,주요사항보고서(자기신주인수권부사채만기전취득결정),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),"9,812,254,390",지분 희석 및 자금 사정 악화 반증 우려
2025,기타주요경영사항              (유상증자 결정 철회(제3자배정전환우선주) 2건),"9,812,254,390",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"9,812,254,390",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"9,812,254,390",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"9,812,254,390",지분 희석 및 자금 사정 악화 반증 우려
