=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
299660,셀리드,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,909090900,0,0,0,0.0,0,0,0,0,0.0,0.0,390000000,0.0,거래 정상
2022-12-31,480000000,-14911335290,-22864575130,7886434000,1643.01,4865596000,22438888760,45857390750,23418501950,-3.6117,104.37,0,-47.2,거래 정상
2023-12-31,0,-12197950490,-11611435380,5039030000,0.0,6801488500,40495261370,63922241980,23426981100,-4.9539,57.85,17199226920,-100.0,투자 위험
2024-12-31,4165091850,-11980498680,-12259048230,3486613000,83.71,10551488500,51203097540,76086463590,24883365620,-3.8527,48.6,22675282520,0.0,거래 정상
2025-12-31,8841828280,-11343056160,-12069197070,3952395000,44.7,14751488500,74206585600,110869307900,36662722110,-4.0304,49.41,35018385910,112.28,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"74,892,895,350 원"
최대주주 및 특수관계인 지분율,11.46% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,증권발행실적보고서,N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,유상증자또는주식관련사채등의청약결과(자율공시)              ,"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자또는주식관련사채등의청약결과(자율공시)              ,"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자최종발행가액확정              ,"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,모니터링 필요
2025,소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,모니터링 필요
2025,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,모니터링 필요
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,권리락              (유상증자),"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자1차발행가액결정              ,"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2025,투자설명서,N/A,모니터링 필요
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주요사항보고서(유상증자결정),"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]정기주주총회결과              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,증권신고서(지분증권),N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),"35,018,385,910",지분 희석 및 자금 사정 악화 반증 우려
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,기타경영사항(자율공시)              (전자투표제 도입 결정),N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (항암면역치료백신 BVACE6E7의 제1/2a상 임상시험 계획승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험결과)              (COVID19 예방 백신 AdCLDCoV191 OMI의 제1/2상 임상시험 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
