=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
011040,경동제약,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,-5517265550,0.0,거래 정상
2022-12-31,182718157220,8312028160,12161173650,12618457000,6.91,15684383000,257203931580,310477908350,52953144960,-15.3987,20.59,-750514550,0.0,거래 정상
2023-12-31,162674098950,-24954557250,-20707555020,13827408000,8.5,15684383000,228178978830,292970765180,64493723060,-13.5482,28.26,0,-10.97,거래 정상
2024-12-31,193936297350,2623605670,5469651900,11120497000,5.73,15684383000,220060755990,302872625620,82535668960,-13.0306,37.51,-1280121750,19.22,거래 정상
2025-12-31,196273042780,7666156560,8528662000,7793283000,3.97,15684383000,228357460080,321895468120,93022364670,-13.5595,40.74,0,1.2,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,"-1,280,121,750 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,자기주식취득결과보고서,N/A,모니터링 필요
2024,소속부변경              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2024,주요사항보고서(자기주식취득결정),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,벌금등의부과,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,[기재정정]최대주주변경을수반하는주식담보제공계약체결,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,반기보고서 (2023.06),N/A,모니터링 필요
