=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
347850,디앤디파마텍,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,62138900000,0.0,거래 정상
2022-12-31,610566100,-68652978900,-136066555540,47125397000,7718.31,4033583500,9440222690,93641563110,75122585290,-1.3404,795.77,147000000,0.0,거래 정상
2023-12-31,18677045870,-13486251130,3933804440,19973195000,106.94,4649464500,46649608080,79203644980,23985658030,-9.0333,51.42,0,2958.97,거래 정상
2024-12-31,11436756600,-25016868400,-28622601550,23291191000,203.65,5284034500,70112118570,97499966010,27930776080,-12.2687,39.84,37980495020,-38.77,거래 정상
2025-12-31,4297604940,-33992612060,-23554579030,25050297000,582.89,21767715000,79493857190,97539472150,18560306130,-2.6519,23.35,7381802400,-62.42,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"45,362,297,420 원"
최대주주 및 특수관계인 지분율,34.19% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,[기재정정]주식등의대량보유상황보고서(약식),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항              (DD02S 관련 마일스톤 기술료 수령),N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,본점소재지변경              ,N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
2024,회사합병결정(종속회사의주요경영사항)              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (대사이상지방간염 (MASH) 치료제 DD01의 제2상 미국 FDA 임상시험 계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획승인신청)              (대사이상지방간염 (MASH) 치료제 DD01의 제2상 미국 FDA 임상시험 계획 승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
