=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
352770,셀레스트라,KOSDAQ,Y,2025-04-03,2023-10-03,거래 정지

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,231570000,0.0,거래 정상
2022-12-31,23083152240,-10783594690,-10177009300,3141671280,13.61,1362014100,52938162170,97103963650,43907208520,-37.8676,82.94,3222659940,0.0,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"3,454,229,940 원"
최대주주 및 특수관계인 지분율,20.19% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정지

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,사채원리금미지급발생              (제2회차 CB),N/A,모니터링 필요
2025,"기타경영사항(자율공시)              (자기사채(제4,5회차 전환사채) 소각 결정)",N/A,모니터링 필요
2025,전환사채(해외전환사채포함)발행후만기전사채취득              (제4회차),N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,[기재정정]주식등의대량보유상황보고서(약식),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,전환사채(해외전환사채포함)발행후만기전사채취득              (제5회차),N/A,모니터링 필요
2025,전환사채(해외전환사채포함)발행후만기전사채취득              (제4회차),N/A,모니터링 필요
2025,[기재정정]정기주주총회결과              (속회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,기타시장안내              (상장폐지 관련),N/A,모니터링 필요
2025,주권매매거래정지기간변경              (상장폐지 사유 발생),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,조회공시요구(현저한시황변동)에대한답변(미확정)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2025,사업보고서제출기한연장신고서 (2024.12),N/A,모니터링 필요
2025,기타경영사항(자율공시)              (감사보고서 제출 지연),N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,전환사채(해외전환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,주요사항보고서(타법인주식및출자증권양도결정),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,상호변경안내              ,N/A,모니터링 필요
2025,임시주주총회결과              ,N/A,모니터링 필요
2025,교환사채(해외교환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
2025,조회공시요구(현저한시황변동)에대한답변(미확정)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2025,조회공시요구(현저한시황변동)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2025,[기재정정]회생절차개시신청(종속회사의주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,회생절차개시신청(종속회사의주요경영사항)              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주요사항보고서(감자결정),N/A,모니터링 필요
2025,주권매매거래정지              (자본감소),N/A,상장유지 위험 경보 및 관리종목 지정 우려
2025,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,교환사채(해외교환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
