=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
335810,프리시젼바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,635310000,0.0,거래 정상
2022-12-31,20458017810,-4500034140,-6805937700,2610845000,12.76,5795663000,33375101370,59009538880,25634437500,-4.7586,76.81,1242930000,0.0,거래 정상
2023-12-31,20391168320,-4810588520,-4490309990,3196466000,15.68,5807263000,32027458680,62478116630,30450657950,-4.5151,95.08,136200000,-0.33,거래 정상
2024-12-31,19134127920,-5366154010,-7305106420,3586378000,18.74,5807263000,25697646200,52039023610,26341377400,-3.4251,102.51,0,-6.16,거래 정상
2025-12-31,19925825430,-5381489500,-10022814570,2583597000,12.97,8978905000,32766713540,53074290370,20307576830,-2.6493,61.98,16978999250,4.14,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"17,115,199,250 원"
최대주주 및 특수관계인 지분율,47.09% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,최대주주변경              ,N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,임시주주총회결과              ,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,최대주주변경을수반하는주식양수도계약체결              ,N/A,모니터링 필요
2024,전환가액의조정              (제2회차),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2024,전환사채(해외전환사채포함)발행후만기전사채취득              (제1회차),N/A,모니터링 필요
2024,증권발행결과(자율공시)              (제3회차 CB),N/A,모니터링 필요
2024,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
2024,[기재정정]수시공시의무관련사항(공정공시)(검사기 및 카트리지 공급계약체결의 건),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2023,증권발행결과(자율공시),N/A,모니터링 필요
