=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
011000,진원생명과학,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,48718300170,-40079922280,-38150069800,12147370880,24.93,77751599000,181471292500,222866686590,41395394090,-1.334,22.81,382444000,0.0,거래 정상
2023-12-31,40202911100,-48368030940,-77768041880,7043381550,17.52,78473817000,111489207550,151007705310,39518497760,-0.4207,35.45,2469985560,-17.48,거래 정상
2024-12-31,35720098840,-48197602040,-48536607370,3556099140,9.96,80039035000,85605242600,151334407810,65729165200,-0.0695,76.78,3589704360,-11.15,거래 정상
2025-12-31,23044791670,-48772511590,-51850979600,1928826490,8.37,85409936000,40898061670,119207169000,78309107330,0.5212,191.47,999998730,-35.49,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"7,059,688,650 원"
최대주주 및 특수관계인 지분율,16.42% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주요사항보고서(자기전환사채만기전취득결정),N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,유상증자또는주식관련사채등의발행결과(자율공시)              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2026,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,최대주주등소유주식변동신고서(최대주주변경시)              ,N/A,모니터링 필요
2026,[기재정정]주식등의대량보유상황보고서(약식),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주요사항보고서(자기전환사채매도결정),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]유상증자신주발행가액(안내공시)              ,"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주요사항보고서(자기전환사채만기전취득결정),N/A,모니터링 필요
2025,[기재정정]타인에대한채무보증결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2025,[기재정정]유상증자신주발행가액(안내공시)              ,"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,유상증자또는주식관련사채등의발행결과(자율공시)              ,"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2025,[기재정정]타인에대한채무보증결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]유상증자신주발행가액(안내공시)              ,"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,유상증자신주발행가액(안내공시)              ,"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,주요사항보고서(유상증자결정),"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,유상증자또는주식관련사채등의발행결과(자율공시)              ,"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
2025,소액공모실적보고서,N/A,모니터링 필요
2025,유상증자또는주식관련사채등의청약결과(자율공시)              ,"999,998,730",지분 희석 및 자금 사정 악화 반증 우려
