=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
308080,바이젠셀,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,0,-18213756000,-17393274500,12285469000,0.0,9503030000,89642714050,99373360340,9730646290,-8.4331,10.85,78462500,0.0,거래 정상
2023-12-31,0,-20084447000,-17875427070,15451569000,0.0,9582870000,71489172830,81049052160,9559879330,-6.4601,13.37,314018000,0.0,투자 위험
2024-12-31,278946250,-15330478090,-14055502830,11576482000,4150.08,9631870000,58025759630,67346375100,9320615470,-5.0244,16.06,215600000,0.0,투자 위험
2025-12-31,22674300,-17108466080,-16322420290,14754646000,65072.11,10249630000,43720241870,54275047500,10554805630,-3.2655,24.14,1705224440,-91.87,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,5년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"2,234,842,440 원"
최대주주 및 특수관계인 지분율,31.93% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,투자판단관련주요경영사항(임상시험계획자진취하등)              (이식편대숙주질환 치료제 VMGD의 식품의약품안전처 제1/2a상 조기 종료),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,본점소재지변경              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,[기재정정]사업보고서 (2023.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,주식매수선택권부여에관한신고,N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
