=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
078160,메디포스트,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,6030000000,0.0,거래 정상
2022-12-31,64200627630,-17416421620,3068598360,19004226000,29.6,8132097000,179970516930,397790902980,215213128830,-21.1309,119.58,69999976510,0.0,거래 정상
2023-12-31,68642987370,-25154619980,5839998340,29216416000,42.56,17108892500,311554525920,449392586050,135735223440,-17.2101,43.57,70920637080,6.92,거래 정상
2024-12-31,70657028370,-48544475640,-62524995360,54636497000,77.33,17108892500,251310495620,414287470350,161686303400,-13.6889,64.34,0,2.93,거래 정상
2025-12-31,73656891460,-67983786590,-85398012010,71309084000,96.81,19602301500,249019175330,431550932700,181644178820,-11.7036,72.94,0,4.25,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"70,920,637,080 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2025,[기재정정]기타경영사항(자율공시)              (전환우선주 전환가액 조정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,투자판단관련주요경영사항              (카티스템®의 적응증 추가 국내 품목허가 변경 신청 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,"투자판단관련주요경영사항(임상시험결과)              (미숙아 중증 기관지폐이형성증(Bronchopulmonary Dysplasia, 이하 BPD)에 대한 뉴모스템®의 국내 임상 2상 시험 결과)",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,기타시장안내              (업종변경 안내),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험결과)              (무릎 골관절염 환자를 대상으로 SMUP-IA-01의 국내 임상2상 임상시험 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2024,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2024,유상증자결정(종속회사의주요경영사항)              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획자진취하등)(카티스템 및 경골근위부절골술(HTO) 병용 요법의 일본 2상 임상시험 자진취하),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,투자판단관련주요경영사항('카티스템' 발목 적응증 추가 품목허가 변경 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2023,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,증권발행실적보고서,N/A,모니터링 필요
