=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
000230,일동홀딩스,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,8393725000,0.0,거래 정상
2022-12-31,675539717330,-98263165520,-102352671650,119439361000,17.68,11540400000,11812980450,862553166890,693452985420,-0.0236,5870.26,5005007200,0.0,거래 정상
2023-12-31,638447517670,-79534903670,-59586796590,107984537000,16.91,11540400000,38962138820,876999054790,707097204360,-2.3762,1814.83,0,-5.49,거래 정상
2024-12-31,634654542810,-4029817510,63038086160,55698519000,8.78,11540400000,133886190470,854701442970,600703310840,-10.6015,448.67,0,-0.59,거래 정상
2025-12-31,590889546400,15147612730,10925563420,35491107000,6.01,11540400000,168760298200,802861393960,457281586880,-13.6234,270.97,0,-6.9,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,46.59% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2024,유상증자결정(종속회사의주요경영사항)              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,결산실적공시예고(안내공시)              ,N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2024,결산실적공시예고(안내공시)              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변경,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,투자판단관련주요경영사항(자회사의 주요경영사항),N/A,모니터링 필요
2023,타인에대한채무보증결정,N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,최대주주등소유주식변동신고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,연결재무제표기준영업(잠정)실적(공정공시),N/A,모니터링 필요
2023,결산실적공시예고(안내공시),N/A,모니터링 필요
2023,주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
